target_object_path,registration_count,owner_count,registration_type_count,registration_types,minimum_confidence
/Game/PrimalEarth/Human/Male/Animations/ASA/TPV/Movement/HM_TPV_Emote_Easter_Sunbathe_Full.HM_TPV_Emote_Easter_Sunbathe_Full,2,1,1,global_asset_reference,HIGH
/Game/ASA/CoreBlueprints/CDOUpdateData_BP.CDOUpdateData_BP_C,1,1,1,global_asset_reference,HIGH
/Game/Fjordur/Dinos/Desmodus/Buff_SanguineElixirUsed.Buff_SanguineElixirUsed,1,1,1,buff_registration,MEDIUM
/Game/LostColony/Characters/VO/DataTable_VOInstigatorData_LC.DataTable_VOInstigatorData_LC,1,1,1,global_asset_reference,HIGH
/Game/LostColony/CoreBlueprints/Milestones/Emitter_MilestoneComplete.Emitter_MilestoneComplete_C,1,1,1,global_asset_reference,HIGH
/Game/LostColony/Dinos/Thrall/Buffs/Buff_Thrall_Threatening.Buff_Thrall_Threatening_C,1,1,1,buff_registration,MEDIUM
/Game/PrimalEarth/CoreBlueprints/Buffs/Buff_CakeSliceCooldown_Imprint.Buff_CakeSliceCooldown_Imprint,1,1,1,buff_registration,MEDIUM
/Game/PrimalEarth/CoreBlueprints/Buffs/Buff_CarriedNotify.Buff_CarriedNotify_C,1,1,1,buff_registration,MEDIUM
/Game/PrimalEarth/CoreBlueprints/Buffs/Buff_ExplorerNoteXP.Buff_ExplorerNoteXP_C,1,1,1,buff_registration,MEDIUM
/Game/PrimalEarth/CoreBlueprints/Buffs/Buff_ExplorerNoteXPSpecial.Buff_ExplorerNoteXPSpecial_C,1,1,1,buff_registration,MEDIUM
/Game/PrimalEarth/CoreBlueprints/COREMEDIA_PrimalGameData_BP.COREMEDIA_PrimalGameData_BP:EventGraph,1,1,1,buff_registration,MEDIUM
/Game/PrimalEarth/CoreBlueprints/DamageTypes/DmgType_Melee_Harvest_Cheat.DmgType_Melee_Harvest_Cheat_C,1,1,1,global_asset_reference,HIGH
/Game/PrimalEarth/CoreBlueprints/Items/Armor/Skin/GhostItemSkins/PrimalItemSkin_PlayerCosmetic_Accessory.PrimalItemSkin_PlayerCosmetic_Accessory_C,1,1,1,item_registration,MEDIUM
/Game/PrimalEarth/CoreBlueprints/PhotoMode/PrimalPhotoDrone_BP.PrimalPhotoDrone_BP_C,1,1,1,global_asset_reference,HIGH
/Game/PrimalEarth/Dinos/Carcharodontosaurus/Carcha_Character_BP.Carcha_Character_BP_C,1,1,1,creature_registration,MEDIUM
/Game/PrimalEarth/ExplorerNotes/DearJaneNotes/SK_DearJane_Note.SK_DearJane_Note,1,1,1,global_asset_reference,HIGH
/Game/PrimalEarth/ExplorerNotes/DearJaneNotes/SK_DearJane_Note_AnimBP.SK_DearJane_Note_AnimBP_C,1,1,1,global_asset_reference,HIGH
/Game/PrimalEarth/Human/Female/Hair/Eye/SK_Female_Hair_Eyelashes.SK_Female_Hair_Eyelashes,1,1,1,global_asset_reference,HIGH
/Game/PrimalEarth/Human/Female/Hair/FacialDreadlocks/SK_Female_FacialHair_DreadBeard_Long.SK_Female_FacialHair_DreadBeard_Long,1,1,1,global_asset_reference,HIGH
/Game/PrimalEarth/Human/Male/Hair/FacialStark/SK_StarkBeard_FacialHair.SK_StarkBeard_FacialHair,1,1,1,global_asset_reference,HIGH
/Game/PrimalEarth/Test/DinoOrderEmitter_AttackTarget.DinoOrderEmitter_AttackTarget_C,1,1,1,creature_registration,MEDIUM
/Game/PrimalEarth/Test/DinoOrderEmitter_MoveTo.DinoOrderEmitter_MoveTo_C,1,1,1,creature_registration,MEDIUM
/Game/PrimalEarth/Test/PrimalItemStructureSkin_Custom.PrimalItemStructureSkin_Custom_C,1,1,1,item_registration,MEDIUM
/Game/ScorchedEarth/Dinos/Jerboa/Jerboa_Character_BP.Jerboa_Character_BP_C,1,1,1,creature_registration,MEDIUM
/Game/ScorchedEarth/Human/Female/Animations/ASA/TPV/Movement/HF_TPV_Emote_SE_Standoff_Montage.HF_TPV_Emote_SE_Standoff_Montage,1,1,1,global_asset_reference,HIGH
/Game/ScorchedEarth/Human/Male/Animations/ASA/TPV/Movement/HM_TPV_Emote_SE_Standoff_Montage.HM_TPV_Emote_SE_Standoff_Montage,1,1,1,global_asset_reference,HIGH
